userId,movieId,rating,timestamp
1,1,4.0,1700000000
1,2,4.5,1700000100
1,6,5.0,1700000200
1,17,4.5,1700000300
1,18,4.0,1700000400
1,22,5.0,1700000500
1,27,5.0,1700000600
1,37,5.0,1700000700
1,39,5.0,1700000800
1,44,4.5,1700000900
2,3,4.5,1700001000
2,18,5.0,1700001100
2,19,4.5,1700001200
2,26,4.0,1700001300
2,62,4.5,1700001400
2,63,4.0,1700001500
2,76,4.0,1700001600
2,99,4.5,1700001700
2,50,4.0,1700001800
2,32,5.0,1700001900
3,6,5.0,1700002000
3,23,5.0,1700002100
3,55,5.0,1700002200
3,74,4.5,1700002300
3,75,4.5,1700002400
3,21,4.5,1700002500
3,7,4.0,1700002600
3,29,4.5,1700002700
3,73,4.5,1700002800
3,90,4.0,1700002900
4,8,4.0,1700003000
4,42,5.0,1700003100
4,83,4.5,1700003200
4,84,4.5,1700003300
4,91,5.0,1700003400
4,48,4.5,1700003500
4,85,4.5,1700003600
4,47,5.0,1700003700
4,94,4.0,1700003800
4,97,4.0,1700003900
5,34,4.5,1700004000
5,78,5.0,1700004100
5,13,4.0,1700004200
5,51,5.0,1700004300
5,67,4.0,1700004400
5,12,3.5,1700004500
5,53,4.0,1700004600
5,58,4.5,1700004700
5,66,3.5,1700004800
5,10,4.0,1700004900
6,32,5.0,1700005000
6,98,5.0,1700005100
6,15,5.0,1700005200
6,50,4.5,1700005300
6,92,5.0,1700005400
6,100,4.5,1700005500
6,35,4.5,1700005600
6,11,4.0,1700005700
6,68,4.5,1700005800
6,52,4.5,1700005900
7,1,4.0,1700006000
7,2,4.5,1700006100
7,5,3.5,1700006200
7,25,4.0,1700006300
7,20,3.5,1700006400
7,65,3.0,1700006500
7,72,2.5,1700006600
7,79,3.5,1700006700
7,81,4.0,1700006800
7,24,4.5,1700006900
8,39,5.0,1700007000
8,38,5.0,1700007100
8,86,5.0,1700007200
8,89,5.0,1700007300
8,4,4.0,1700007400
8,36,4.5,1700007500
8,31,4.5,1700007600
8,10,4.5,1700007700
8,49,4.0,1700007800
8,70,4.5,1700007900
9,17,5.0,1700008000
9,60,5.0,1700008100
9,18,5.0,1700008200
9,19,4.5,1700008300
9,61,4.0,1700008400
9,62,4.5,1700008500
9,64,4.5,1700008600
9,76,4.0,1700008700
9,63,4.0,1700008800
9,44,4.5,1700008900
10,6,5.0,1700009000
10,70,5.0,1700009100
10,46,5.0,1700009200
10,87,5.0,1700009300
10,88,4.5,1700009400
10,45,4.5,1700009500
10,96,4.0,1700009600
10,95,4.5,1700009700
10,28,4.5,1700009800
10,93,4.0,1700009900
11,22,5.0,1700010000
11,27,5.0,1700010100
11,7,4.5,1700010200
11,55,5.0,1700010300
11,37,5.0,1700010400
11,24,4.5,1700010500
11,41,4.0,1700010600
11,90,4.5,1700010700
11,21,4.5,1700010800
11,75,4.5,1700010900
12,99,5.0,1700011000
12,3,4.5,1700011100
12,18,5.0,1700011200
12,19,4.5,1700011300
12,50,4.5,1700011400
12,16,4.0,1700011500
12,33,4.0,1700011600
12,62,4.5,1700011700
12,52,4.0,1700011800
12,35,4.0,1700011900
13,42,5.0,1700012000
13,83,5.0,1700012100
13,84,4.5,1700012200
13,8,4.0,1700012300
13,91,5.0,1700012400
13,48,4.5,1700012500
13,97,4.0,1700012600
13,26,4.0,1700012700
13,93,4.0,1700012800
13,85,4.5,1700012900
14,32,5.0,1700013000
14,51,5.0,1700013100
14,98,5.0,1700013200
14,92,5.0,1700013300
14,15,4.5,1700013400
14,100,4.5,1700013500
14,58,4.5,1700013600
14,11,4.0,1700013700
14,67,4.0,1700013800
14,68,4.5,1700013900
15,6,5.0,1700014000
15,23,5.0,1700014100
15,22,5.0,1700014200
15,74,4.5,1700014300
15,55,5.0,1700014400
15,29,4.5,1700014500
15,73,4.5,1700014600
15,21,4.5,1700014700
15,75,4.5,1700014800
15,7,4.0,1700014900
16,34,5.0,1700015000
16,78,5.0,1700015100
16,13,4.0,1700015200
16,51,5.0,1700015300
16,67,4.5,1700015400
16,14,3.5,1700015500
16,82,4.5,1700015600
16,38,4.0,1700015700
16,64,4.5,1700015800
16,76,4.0,1700015900
17,39,5.0,1700016000
17,86,5.0,1700016100
17,31,5.0,1700016200
17,47,5.0,1700016300
17,49,4.5,1700016400
17,70,5.0,1700016500
17,54,4.0,1700016600
17,10,4.5,1700016700
17,4,4.0,1700016800
17,77,3.5,1700016900
18,44,5.0,1700017000
18,17,5.0,1700017100
18,60,5.0,1700017200
18,99,5.0,1700017300
18,27,5.0,1700017400
18,37,5.0,1700017500
18,22,5.0,1700017600
18,18,5.0,1700017700
18,43,4.5,1700017800
18,24,4.5,1700017900
19,1,3.5,1700018000
19,2,4.0,1700018100
19,5,3.0,1700018200
19,65,3.0,1700018300
19,72,2.0,1700018400
19,25,3.5,1700018500
19,20,3.0,1700018600
19,79,3.0,1700018700
19,9,3.0,1700018800
19,71,2.5,1700018900
20,6,5.0,1700019000
20,39,5.0,1700019100
20,46,5.0,1700019200
20,87,5.0,1700019300
20,90,5.0,1700019400
20,37,5.0,1700019500
20,31,5.0,1700019600
20,47,5.0,1700019700
20,85,5.0,1700019800
20,70,5.0,1700019900
